"gene_id","ensembl_id_clean","entrez_id","gene_symbol","logFC","logCPM","LR","PValue","FDR","significance","direction"
"ENSG00000165312.6","ENSG00000165312","220213","OTUD1",-2.17824012353371,4.37435682575129,1036.57229768681,2.0179379448992e-227,5.09509151707599e-223,"Significant","Downregulated"
"ENSG00000182010.10","ENSG00000182010","219790","RTKN2",-4.12045569113204,5.28855665008629,1002.61970971989,4.83989754513287e-220,6.110128655853e-216,"Significant","Downregulated"
"ENSG00000116016.13","ENSG00000116016","2034","EPAS1",-2.78370846189753,8.99270822472831,999.984983679231,1.8093804881947e-219,1.5228349315476e-215,"Significant","Downregulated"
"ENSG00000168309.16","ENSG00000168309","11170","FAM107A",-4.60094539980411,5.01682469651941,978.673145178909,7.76256636542056e-215,4.8999259540126e-211,"Significant","Downregulated"
"ENSG00000102760.12","ENSG00000102760","28984","RGCC",-2.95001635667196,5.9436066533505,946.352311593534,8.23497905657986e-208,4.1584997239917e-204,"Significant","Downregulated"
"ENSG00000010319.6","ENSG00000010319","56920","SEMA3G",-3.29379897312453,3.73612963192989,937.153616381814,8.22716741239166e-206,3.46212916659128e-202,"Significant","Downregulated"
"ENSG00000235387.2","ENSG00000235387","158376","SPAAR",-2.79059452882573,0.214388038829497,933.205752629101,5.93516497645425e-205,2.14081400700705e-201,"Significant","Downregulated"
"ENSG00000170989.8","ENSG00000170989","1901","S1PR1",-2.90956267321631,5.03307015034412,925.080792581952,3.46449754982526e-203,1.09343873294422e-199,"Significant","Downregulated"
"ENSG00000256013.1","ENSG00000256013",NA,NA,-2.8756207034548,5.53314649766363,918.160413463433,1.10664549606855e-201,3.10463245891499e-198,"Significant","Downregulated"
"ENSG00000122679.8","ENSG00000122679","10268","RAMP3",-3.29680193517416,4.36822338289678,911.33899404709,3.36416052677188e-200,8.49416891404633e-197,"Significant","Downregulated"
"ENSG00000120156.20","ENSG00000120156","7010","TEK",-3.30809722388287,4.1432337603834,910.918625265212,4.15201198748531e-200,9.5303773338197e-197,"Significant","Downregulated"
"ENSG00000135604.9","ENSG00000135604","8676","STX11",-3.04734600490324,3.34003867718536,908.795993377667,1.201400306319e-199,2.52784636118738e-196,"Significant","Downregulated"
"ENSG00000213853.9","ENSG00000213853","2013","EMP2",-2.80210830556412,8.39502146920691,900.814509357394,6.52764122603384e-198,1.26781856397022e-194,"Significant","Downregulated"
"ENSG00000261371.5","ENSG00000261371","5175","PECAM1",-2.37791652402033,7.78750749181803,888.616806545346,2.92689829729536e-195,5.27866107917218e-192,"Significant","Downregulated"
"ENSG00000139567.12","ENSG00000139567","94","ACVRL1",-2.62987314096572,5.38111629120218,878.693344554212,4.204294489455e-193,7.07694877094995e-190,"Significant","Downregulated"
"ENSG00000136160.14","ENSG00000136160","1910","EDNRB",-3.5499328464448,4.85050216820107,837.235618588745,4.33106225057625e-184,6.83468692279998e-181,"Significant","Downregulated"
"ENSG00000131477.10","ENSG00000131477","10266","RAMP2",-2.94962937783938,4.20154448982234,825.930938575525,1.24256587957233e-181,1.84550269960717e-178,"Significant","Downregulated"
"ENSG00000142748.12","ENSG00000142748","8547","FCN3",-4.60502540414581,4.83301114236478,821.986863409426,8.9495538450564e-181,1.25537380574349e-177,"Significant","Downregulated"
"ENSG00000132622.10","ENSG00000132622","116835","HSPA12B",-2.86096734194373,2.98365251899536,818.283197292518,5.71505624435949e-180,7.59470816388594e-177,"Significant","Downregulated"
